"","X","X_id","标题","标题链接","居室数","厅堂数","卫生间数","总面积","朝向","楼层位置","建造年份","小区","区","街道","地址","关键词","价格","单价","关键字1","关键字2","关键字3","关键字4","装修","字段12","详情1","详情2","详情3","详情4","详情5","产权性质","物业类型","产权年限","房本年限","参考预算","小区均价","小区户数","物业费用","绿化率","小区解读1","小区解读2","小区解读3","小区解读4","小区解读5","小区解读6","代理情况","代理情况2","安选"
"243","242","666d21b7dacf8deaac141361","主卧朝南，大平层，品质小区，价格好谈","https://shanghai.anjuke.com/prop/view/S3105666783666186",3,2,1,"110.57㎡","南","低层(共11层)","2004年建造","海洲桃花园","浦东","航头","航头路988弄","南;近地铁",340,"30750元/㎡","南","近地铁","","","精装修","2004年竣工/普通住宅
            ","近地铁","","","","","商品房住宅","普通住宅","70年产权","","首付68万，月供12214元","37967元/㎡","2392户","1.2 元/平米/月","40.00%","轨道交通   门口就有1067路公交，航头五路，航三路等，小区西边150米就是18号线地铁口（2020年底开通）","小区户型   小区主要是77平，81平，88平，110平，123平等主力户型，以两房为主，适合刚需需求","小区设施   小区里有 游泳池 小朋友玩耍的沙滩 以及老年锻炼身体的区域","生活配套   小区300米是苏杭生活广场内有生鲜超市，肯德基必胜客和家居用品\r\n隔壁是农工商大卖场，咸塘小镇步行街等","房屋品质   同一个开发区小区2011年左右交房二期是商品房","小区不足   一期动迁小区年代较久，且里面租客居多，车位配比少，造成交通不便","6家门店、11位经纪人正代理本房","全部经纪人","实地核验"
"244","243","666d21b7dacf8deaac141362","精装大一室，小俩口居住刚刚好，带中央空调，拎包入住，精装","https://shanghai.anjuke.com/prop/view/S3544806561833997",1,1,1,"49.24㎡","南北","高层(共20层)","2017年建造","绿洲康城亲水湾(中区)","浦东","御桥","康桥路1558弄","南北;满五年;车位充足",327,"66410元/㎡","南北","满五年","车位充足","","精装修","2017年竣工/普通住宅
            ","满五年","唯一住房","有电梯","车位充足","","商品房住宅","普通住宅","70年产权","满五年","首付65万，月供11747元","63473元/㎡","4001户","1.77 元/平米/月","43.00%","轨道交通   小区步行1000米左右可到达11号线和16号线罗山站，门口公交车779，1051号等等可直达市区","小区户型   小区有67平一房，89-103平两房，129-134平的三房，主要户型双南两房","其他描述   开发商是:上海振龙房地产开发有限公司rn物业公司:上海中远物业管理有限公司rn物业费:每平每月1.5元","生活配套   小区生活配套齐全，出门往西100米是亲水湾生活广场，出门往东100米是亲水湾永乐街，吃喝玩乐应有竟有","房屋品质   由本地开发商振龙房地产开发有限公司开发，07年毛坯交房，近外环，有隔音板有效隔绝噪音","小区不足   小区业主的车比较，在部分业主都好辆车，所以车位紧张","","全部经纪人","实地核验"
"245","244","666d21b7dacf8deaac141363","南北通透 近地铁 次新小区 高楼层视野无遮挡 停车方便","https://shanghai.anjuke.com/prop/view/S3586036456547336",2,2,1,"75.31㎡","南北","高层(共8层)","2018年建造","万科金域澜湾(公寓住宅)","浦东","临港新城","雪绒花路369弄","南北;满五年;近地铁;车位充足",230,"30541元/㎡","南北","满五年","近地铁","车位充足","豪华装修","2018年竣工/普通住宅
            ","满五年","近地铁","车位充足","","","商品房住宅","普通住宅","暂无","满五年","首付46万，月供8262元","36359元/㎡","1217户","3.5 元/平米/月","35.00%","轨道交通   距离地铁16号线很近1248米左右","小区户型   小区主力户型89平方的三房，三开间朝南，主卧带有独立的卫生间和衣帽间，楼间距大概35-45米之间","小区设施   小区内有花园，凉亭，健身器材，总占地面积48432，建筑面积40361，共688户","生活配套   西南3公里港城广场西南1.5公里山兰路步行街社区西行2.5公里港城新天地商业街","房屋品质   小区2016年9月开盘2018年交房，精装和毛坯都有，防水防潮隔音做的很好","小区不足   小区整体入住率不高，生化配套不完善","5家门店、5位经纪人正代理本房","全部经纪人","实地核验"
"246","245","666d21b7dacf8deaac141364","浦凌佳苑 飞机户型三房 高楼层 有钥匙随时能看房","https://shanghai.anjuke.com/prop/view/S3353652700110857",3,2,2,"122.12㎡","南北","高层(共15层)","2017年建造","浦凌佳苑","浦东","外高桥","康悦路325弄","南北;近地铁",400,"32755元/㎡","南北","近地铁","","","简单装修","2017年竣工/普通住宅
            ","近地铁","","","","","商品房住宅","普通住宅","暂无","","首付80万，月供14369元","35189元/㎡","2400户","1.8 元/平米/月","35.00%","轨道交通   距离双江路地铁站1000米  门口公交车883一站地可换乘3号线","小区户型   小区均为俩梯四户 南北通透 大户型123平 三房俩厅俩卫 俩室89平 一房58平，毛坯交付随意装修","小区设施   小区中心有绿地 绿地周边有儿童娱乐设施 老年人健身器材","生活配套   像东300米左右是菜市场 走1公里是双江路地铁站","房屋品质   小区2017年交付 毛坯交付  业主可随意装修 窗户双层夹胶玻璃 能有效隔绝噪音","小区不足   小区目前不足的一点 周边缺少大型配套商超 ","3家门店、4位经纪人正代理本房","全部经纪人","实地核验"
"247","246","666d21b8dacf8deaac141365","陆家嘴内环内 通燃气带地暖整栋纯居住品质大平层南北通透带车位","https://shanghai.anjuke.com/prop/view/S3572191936095232",2,2,2,"104㎡","南北","中层(共26层)","2019年建造","凯旋汇","浦东","八佰伴","张杨路98号","南北;满五年;近地铁;车位充足",340,"32693元/㎡","南北","满五年","近地铁","车位充足","精装修","2019年竣工/公寓
            ","满五年","唯一住房","有电梯","近地铁","车位充足","商住两用","公寓","50年产权","满五年","首付170万，月供16811元","91494元/㎡","234户","暂无","35.00%","轨道交通   小区出门步行800米有地铁9号线和2号线","小区户型   小区67㎡一房，和107-127㎡两房，高层总高26楼，单栋，前后楼间距大","其他描述   小区物业是启胜物业，物业费28元，包含3张会所会员卡，有大堂礼宾和管家，服务周到","小区设施   小区内有6000平方会所，设施完善，有儿童娱乐设施，健身器材，图书馆等","生活配套   小区出门步行0.5km到达老佛爷购物商场、盒马鲜生，2公里到达仁济医院东院","小区不足   小区车位紧张，有时无法满足多台车的需求","","全部经纪人","实地核验"
"248","247","666d21b8dacf8deaac141366","房东急抛！赠送车位！临近地铁！（小区无对手）","https://shanghai.anjuke.com/prop/view/S3356901002272779",3,2,1,"95㎡","南","高层(共6层)","1997年建造","民星苑","浦东","御桥","御青路56弄","南;满五年;近地铁",528,"55579元/㎡","南","满五年","近地铁","","简单装修","1997年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","","商品房住宅","普通住宅","70年产权","满五年","首付105万，月供18968元","61930元/㎡","552户","0.5 元/平米/月","40.00%","轨道交通   向南步行200米可到海上传奇商场，内有石二锅餐饮和建设馆运动加500米向南方向有地杰菜市场","小区户型   小区全部是多层房，1房是46-58平，两房61-78平，三房92-95平，主力户型是两房和一房！","小区设施   只有地面车位小区配置200个固定车位","生活配套   小区对面就是万科2049广场东门向南50米就是2049生活广场红星美凯龙等大型购物广场","房屋品质   房子开发商周康房地产开发有限公司","小区不足   停车位紧张，北面靠高压线","","全部经纪人","实地核验"
"249","248","666d21b9dacf8deaac141367","新高桥春晖苑 中间好楼层 双卫格局 商品住宅 商业配套成熟","https://shanghai.anjuke.com/prop/view/S3049623895810051",3,2,2,"127㎡","南北","中层(共6层)","2005年建造","新高桥春晖苑","浦东","外高桥","春晖路368弄1-59号","南北;满五年;近地铁;户型方正",510,"40158元/㎡","南北","满五年","近地铁","户型方正","简单装修","2005年竣工/普通住宅
            ","满五年","唯一住房","近地铁","户型方正","采光较好","商品房住宅","普通住宅","暂无","满五年","首付102万，月供18321元","47846元/㎡","700户","0.55 元/平米/月","35.00%","轨道交通   出门600米有611路、971路、453路等多条公交，其中611通川沙，453通五角场，经过金桥高行","小区户型   小区户型大多为大户型，120平~130平三房两厅居多，房子正气采光好","小区设施   小区内部大概有100平方米的健身凉亭等设施","生活配套   小区出门左转50米有生鲜市场.周边基本生活配套基本完善.","小区不足   车位相较比较紧张，前春晖路，后春阳路，前一排与后一排可能相对有噪音","","","全部经纪人","实地核验"
"250","249","666d21badacf8deaac141368","临地铁 出行方便 有钥匙随时看房 车位充足 商品房 中间楼层","https://shanghai.anjuke.com/prop/view/S3076779009448960",4,2,2,"245㎡","南","共1层","2005年建造","盛世天地","浦东","三林","盛苑路800弄","南;满五年;近地铁;车位充足",2350,"95919元/㎡","南","满五年","近地铁","车位充足","毛坯","2005年竣工/普通住宅
            ","满五年","近地铁","车位充足","","","商品房住宅","普通住宅","70年产权","满五年","首付470万，月供84420元","97050元/㎡","447户","2.4 元/平米/月","44.00%","小区户型   主力户型为175.29-398平纯别墅社区，待独立产权车位和花园，南北朝向，户型合理采光视野通风俱佳","其他描述   开发商浦东新区房地产（集团）有限公司，物业费2.4元，小区共计447户","小区设施   自带千平会所，提供游泳池，健身房，瑜伽等，人工湖泊，亭台楼阁，移植进口植物等，车位配比一比二","生活配套   小区北门出来100米一兆韦德健身房，200米华联超市，500米家乐福","小区不足   小区有两排部分紧挨中环和杨高南路，相对较吵","","7家门店、11位经纪人正代理本房","全部经纪人","实地核验"
"251","250","666d21badacf8deaac141369","高行绿洲五期 有电梯 出行方便 南北通透 装修好 临地铁","https://shanghai.anjuke.com/prop/view/S3455659033387022",1,1,1,"54.18㎡","南北","高层(共14层)","2011年建造","高行绿洲五期","浦东","外高桥","庭安路825弄","南北;满五年;近地铁;户型方正",240,"44297元/㎡","南北","满五年","近地铁","户型方正","精装修","2011年竣工/普通住宅
            ","满五年","有电梯","近地铁","户型方正","采光较好","动迁配套房","普通住宅","70年产权","满五年","首付48万，月供8622元","46021元/㎡","2380户","1.1 元/平米/月","40.00%","轨道交通   距离6号线洲海路地铁站1000米左右，可换乘4号12号线","小区户型   小区一梯2户，户型有1房的54平，2房74平，3房94平，两房的南北户型的","小区设施   小区有花园，凉亭，运动小路，适合平时体育锻炼！","生活配套   周边配套齐全，800米可到世纪联华，往秋岚路走对面就是个菜市场，往左手走有很多小吃和网咖","房屋品质   高行绿洲五期有深圳彩生活操盘，2011年竣工的，毛皮到手的，没什么装修 ，隔音不是太好，比较是动迁房","小区不足   小区地上车位目前不足，造车车辆乱停乱放现象，有待物业调整解决并且开通地下车库正常使用！","5家门店、7位经纪人正代理本房","全部经纪人","实地核验"
"252","251","666d21bbdacf8deaac14136a","满五   车位充足 中间好楼层 带电梯 南向采光好 动静分离","https://shanghai.anjuke.com/prop/view/S3424633597861893",2,1,1,"76.45㎡","南","中层(共17层)","2006年建造","三林世博家园(D区)","浦东","三林","东书房路390弄1-93号","南;热门小区;配套成熟;优势户型",402,"52584元/㎡","南","热门小区","配套成熟","优势户型","简单装修","2006年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","车位充足","商品房住宅","普通住宅","70年产权","满五年","首付80万，月供14441元","56437元/㎡","2096户","0.75 元/平米/月","35.00%","轨道交通   小区门口是公交总站，到6号线高清站1000米，到11号线浦三路站800米","其他描述   停车费，地上100元/月，地下250元/月物业费1.05元/平方","小区设施   小区有一个600平米的大花园和健身器材，在44－45－60－61楼后面有地下停车库","生活配套   方圆一公里以内有家乐福，长青生活广场，迎博菜市场，爱博菜市场，小区楼下有沿街底商，满足住户的基本需求","房屋品质   2006年由上海浦东开发公司建造，世博会动迁标杆社区，地库停车和地面停车大大解决了停车难的问题","小区不足   目前小区的车位很少，都是随便停的，这是动迁房，所以安保比较不行，什么人都能进去","6家门店、11位经纪人正代理本房","全部经纪人","实地核验"
"253","252","666d21bbdacf8deaac14136b","浦江 满五 精装可拎包入住 南向采光好 小区新 正规商品房","https://shanghai.anjuke.com/prop/view/S3560546833833999",4,2,4,"205.24㎡","南","共4层","2015年建造","浦江华侨城(八期公寓)","闵行","浦江","浦驰路1336弄","南;热门小区;新上小区;价格优惠",1695,"82587元/㎡","南","热门小区","新上小区","价格优惠","精装修","2015年竣工/普通住宅
            ","满五年","近地铁","","","","商品房住宅","普通住宅","70年产权","满五年","首付339万，月供60890元","85491元/㎡","1066户","3.0 元/平米/月","35.00%","轨道交通   小区出门左边1公里是地铁8号线浦江镇站，8号线可换乘任何线号的地铁，公交站是986路闵行12路公交","小区户型   主要是大户型，分为总高11楼一梯两户102平的两房和总高4楼的一复二＋3楼4楼174平的大平层！","小区设施   小区整体风格为意大利风格，简约不失大气。内部人车分流，小区中心设有休闲设备，外立面贴砖保护。","生活配套   本小区距生话广场900米，生活广场内有盒马生鲜，肯德基，医疗设施：仁济医院，五官科医院，家乐福商场","居民素质   自住率达到85%以上，保利物业，保安巡逻外来人员一律需要物业跟业主确认过才开放行","小区不足   小区没有小户型，102平两房起步，部分楼栋号靠陈行公路。会有车辆行驶噪音。  车位紧张","2家门店、5位经纪人正代理本房","全部经纪人","实地核验"
"254","253","666d21bcdacf8deaac14136c","真实在售南新东园 电梯 精装修1房1厅 满五   南北通透","https://shanghai.anjuke.com/prop/view/S3376594390981646",1,1,1,"54.89㎡","南北","中层(共14层)","2010年建造","南新东园","浦东","外高桥","行南路900弄","南北;满五年;近地铁;户型方正",260,"47368元/㎡","南北","满五年","近地铁","户型方正","精装修","2010年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","户型方正","商品房住宅","普通住宅","70年产权","满五年","首付52万，月供9340元","45226元/㎡","1374户","1.5 元/平米/月","40.00%","小区户型   南新东园小区是有11栋楼梯房和9栋电梯房组成。米黄色外立面、看起来温暖舒适。","小区设施   小区内设有凉亭，老年活动中心、19号楼下设有地下停车库。","小区不足   小区靠近张杨北路和航津路。噪音有点大。","","","","","全部经纪人","实地核验"
"255","254","666d21bcdacf8deaac14136d","航头 大两房 朝南 临地铁 满五   带电梯 高绿化","https://shanghai.anjuke.com/prop/view/S3565085562133511",2,2,1,"84.56㎡","南","低层(共21层)","2014年建造","长泰公馆","浦东","航头","航定路568弄","南;满五年;近地铁;绿化率高",305,"36070元/㎡","南","满五年","近地铁","绿化率高","精装修","2014年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","绿化率高","商品房住宅","普通住宅","70年产权","满五年","首付61万，月供10957元","35935元/㎡","1208户","2.0 元/平米/月","55.00%","轨道交通   距航头东16号线地铁站4公里小区门口有公交站台","小区户型   社区两梯四户居多，主力户型为86平米两房-108平米的三房，大部分是南北对流通风户型，社区内没有一房","其他描述   开发商自持物业，长宜物业，物业费：高层2.9元，别墅3.2元","小区设施   小区进门是自带900平的绿化广场，可供居民休闲散步，还有健身房和游泳馆","生活配套   小区门口有本地阿姨种植的无害蔬菜东面800米到航头老街，有大型菜市场，能满足日常生活购物所需","小区不足   小区自住率高业主车辆多停车位紧张小区车位不足小区车位比1:0.75","","全部经纪人","实地核验"
"256","255","666d21bcdacf8deaac14136e","中间楼层双南大两房一梯两户全明户型看房提前约，可谈","https://shanghai.anjuke.com/prop/view/S3571783598285839",2,2,1,"78.31㎡","南","中层(共6层)","1997年建造","上浦路355弄小区","浦东","三林","上浦路355弄","南;热门小区;南北通透;配套成熟",398,"50824元/㎡","南","热门小区","南北通透","配套成熟","精装修","1997年竣工/普通住宅
            ","满五年","近地铁","","","","其它","普通住宅","70年产权","满五年","首付79万，月供14298元","52030元/㎡","193户","0.8 元/平米/月","35.00%","其他描述   该小区是保通物业管理有限公司，物业费：0.6-0.8/平/月，服务一般","居民素质   该小区租住比为3:7，多数业主自住，平均年龄55岁，人员流动性强，邻里关系融洽和谐","小区不足   小区是97年的有点老，车位不是很充足，先到先停","","","","2家门店、9位经纪人正代理本房","全部经纪人","实地核验"
"257","256","666d21bddacf8deaac14136f","S梅园 近医院 交通便利 中间楼层 商品住宅 精装好房","https://shanghai.anjuke.com/prop/view/S3428705040064521",1,0,1,"33.94㎡","南","中层(共6层)","1994年建造","梅园三街坊","浦东","八佰伴","商城路1025弄,商城路991弄,乳山路130弄,乳山路138弄,乳山路160弄","南;满五年;近地铁",398,"117266元/㎡","南","满五年","近地铁","","精装修","1994年竣工/普通住宅
            ","满五年","唯一住房","近地铁","","","商品房住宅","普通住宅","70年产权","满五年","首付79万，月供14298元","113941元/㎡","2807户","0.85 元/平米/月","28.00%","轨道交通   距离世纪大道地铁站800米内，2-4-6-9号线多条轨道交通","小区户型   小区只要以一梯四户户型为主一房主力面积：27-36平两房主力面积：46-55平","其他描述   物业：小区物业是潍坊物业，虽然物业费才8毛钱一平，但是却很负责，随叫随到，有问题都是很快就帮你解决！","小区设施   小区里有一个健身设施 凉亭很多老人小朋友傍晚都会来此锻炼身体 小区住户关系融洽素质高","生活配套   小区南门出去300米世纪大都会，百联世纪，九六广场","小区不足   小区内唯一的不足就是车位紧张小区无地下车位地面车位基本上是先到先得车位有些紧张小区内停车位紧张","3家门店、9位经纪人正代理本房","全部经纪人","实地核验"
"258","257","666d21bddacf8deaac141370","房龄新 高楼层采光充足 近地铁 精装好房 带电梯","https://shanghai.anjuke.com/prop/view/S3517946909809674",2,2,1,"74.5㎡","南北","高层(共17层)","2014年建造","金硕河畔景园(西区)","闵行","浦江","江协路51弄","南北;有电梯;近地铁;多人关注",250,"33558元/㎡","南北","有电梯","近地铁","多人关注","精装修","2014年竣工/普通住宅
            ","有电梯","近地铁","","","","商品房住宅","普通住宅","暂无","","首付50万，月供8981元","32169元/㎡","1229户","0.83 元/平米/月","40.00%","轨道交通   小区门口：浦江20路9路11路183路，向西南方向1.1KM：8号线闵瑞路站，可直达市区，方便换乘","小区户型   小区总楼栋59栋，分46栋一梯两户1到6层多层小洋房，还有13栋一梯三户17层电梯高层","小区设施   小区绿化较多，三面沿河小区有地面停车位和地下停车库，中间设有儿童和健身器材，两个凉亭","生活配套   小区向北500米是江文路商业街，夏威夷生活广场，欧润发超市等，生活还是很方便的","房屋品质   本小区有上海金硕置业有限公司操盘，2010年竣工交房，房屋质量很好","小区不足   小区外观有点老旧，看起来比较破  车位紧张","9家门店、13位经纪人正代理本房","全部经纪人","实地核验"
"259","258","666d21bedacf8deaac141371","爱博一村 满五 商业配套成熟 有电梯 朝南 医疗配套成熟","https://shanghai.anjuke.com/prop/view/S3482694422519812",2,2,1,"82.05㎡","南","高层(共13层)","2009年建造","爱博一村","闵行","华漕","宁虹路1101弄","南;满五年;绿化率高",419,"51067元/㎡","南","满五年","绿化率高","","简单装修","2009年竣工/普通住宅
            ","满五年","有电梯","绿化率高","","","商品房住宅","普通住宅","暂无","满五年","首付83万，月供15052元","48752元/㎡","2882户","1.6 元/平米/月","46.00%","轨道交通   距离虹桥火车站1.2公里，小区门口有多条公交线路可以抵达虹桥机场及虹桥火车站，方便交通出行","小区户型   小区楼栋总共93栋，楼层总高13层，主力户型有55-61平的一房，85平的两房，120平的三房","其他描述   小区物业服务水平一般，现在爱博还是免物业管理费","小区设施   小区设施齐全，有健身器材，小孩游乐园，车位充足，够小区业主使用","房屋品质   房子为动迁房，2009年交房，房屋顶楼做了防水隔热层，顶楼全部加装了斜改层，可以有效的防晒防水","小区不足   动迁房，租客比较多","4家门店、12位经纪人正代理本房","全部经纪人","实地核验"
"260","259","666d21bedacf8deaac141372","富特四村新出  南北通透大一房 可改两房 房东置换急抛 钥匙","https://shanghai.anjuke.com/prop/view/S3564931055738891",1,1,1,"44㎡","南北","低层(共6层)","1994年建造","富特四村","浦东","外高桥","夏碧路80弄,季景路19弄","南北;满五年;近地铁",151,"34319元/㎡","南北","满五年","近地铁","","简单装修","1994年竣工/普通住宅
            ","满五年","唯一住房","近地铁","","","商品房住宅","普通住宅","暂无","满五年","首付30万，月供5424元","39173元/㎡","1428户","0.55 元/平米/月","20.00%","轨道交通   距离地铁6号线航津路地铁站500米近地铁六号线航津路站600米左右","小区户型   小区小户型一房平方为41-46平，两房平方为55-63平，多层楼梯房，楼间距宽，户型南北通透","其他描述   物业费0.6元每平米每月物业公司该小区为上海外高桥物业管理有限公司","小区设施   小区有凉亭，椅子等休息！小区内设信箱，方便居民取阅报纸，收信等？","房屋品质   小区为90年代动迁房建筑时间较长","小区不足   地面车位不多小区年限老绿化率相对于来说不是很好8点后车位很难找到","3家门店、5位经纪人正代理本房","全部经纪人","实地核验"
"261","260","666d21bedacf8deaac141373","陆家嘴内环内 通燃气带地暖整栋纯居住品质大平层南北通透带车位","https://shanghai.anjuke.com/prop/view/S3550859955938305",3,2,3,"158㎡","南","中层(共24层)","2016年建造","凯旋汇","浦东","八佰伴","张杨路98号","南;满五年;近地铁;车位充足",480,"30380元/㎡","南","满五年","近地铁","车位充足","精装修","2016年竣工/公寓
            ","满五年","唯一住房","有电梯","近地铁","车位充足","商住两用","公寓","50年产权","满五年","首付240万，月供23733元","91494元/㎡","234户","暂无","35.00%","轨道交通   小区出门步行800米有地铁9号线和2号线","小区户型   小区67㎡一房，和107-127㎡两房，高层总高26楼，单栋，前后楼间距大","其他描述   小区物业是启胜物业，物业费28元，包含3张会所会员卡，有大堂礼宾和管家，服务周到","小区设施   小区内有6000平方会所，设施完善，有儿童娱乐设施，健身器材，图书馆等","生活配套   小区出门步行0.5km到达老佛爷购物商场、盒马鲜生，2公里到达仁济医院东院","小区不足   小区车位紧张，有时无法满足多台车的需求","2家门店、7位经纪人正代理本房","全部经纪人","实地核验"
"262","261","666d21bedacf8deaac141374","开发商统一装修带地暖，诚意出售，看房有钥匙","https://shanghai.anjuke.com/prop/view/S3504335000740864",3,2,2,"89.84㎡","南北","高层(共8层)","2018年建造","万科金域澜湾(公寓住宅)","浦东","临港新城","雪绒花路369弄","南北;满二年;近地铁;车位充足",310,"34506元/㎡","南北","满二年","近地铁","车位充足","精装修","2018年竣工/普通住宅
            ","满二年","有电梯","近地铁","车位充足","","商品房住宅","普通住宅","70年产权","满二年","首付62万，月供11136元","36359元/㎡","1217户","3.5 元/平米/月","35.00%","轨道交通   距离地铁16号线很近1248米左右","小区户型   小区主力户型89平方的三房，三开间朝南，主卧带有独立的卫生间和衣帽间，楼间距大概35-45米之间","小区设施   小区内有花园，凉亭，健身器材，总占地面积48432，建筑面积40361，共688户","生活配套   西南3公里港城广场西南1.5公里山兰路步行街社区西行2.5公里港城新天地商业街","房屋品质   小区2016年9月开盘2018年交房，精装和毛坯都有，防水防潮隔音做的很好","小区不足   小区整体入住率不高，生化配套不完善","2家门店、5位经纪人正代理本房","全部经纪人","实地核验"
"263","262","666d21bfdacf8deaac141375","西郊庄园 丹麦式 C户型 中心位置临湖 客厅挑高7米","https://shanghai.anjuke.com/prop/view/S3101682925346825",5,2,5,"383.11㎡","南","共2层","2009年建造","西郊庄园","闵行","华漕","金丰路588弄","南;满五年;近地铁;绿化率高",7980,"208296元/㎡","南","满五年","近地铁","绿化率高","精装修","2009年竣工/别墅
            ","满五年","唯一住房","近地铁","绿化率高","","商品房住宅","别墅","70年产权","满五年","首付1596万，月供286670元","203596元/㎡","251户","7.0 元/平米/月","73.00%","轨道交通   小区100米处有190，803，华漕5路公交车到市区，800米处有17号地铁线可到达虹桥机场","其他描述   小区是西郊庄园物业管理有限公司物业管理相对比较严格物业费7.5元.","小区设施   社区内配有大草坪，儿童滑梯，翘翘板，特色廊架，儿童游乐区，半场篮球场等娱乐设施","房屋品质   小区由西郊庄园置业房地产开发有限公司，一期2002年，二期是2003年，三期是2005年，防水防潮","小区不足   目前小区金丰路隧道还在建工，年底完工，交通可能不便","","10家门店、32位经纪人正代理本房","全部经纪人","实地核验"
"264","263","666d21c0dacf8deaac141376","陆家嘴滨江 江景公寓 民用精装修全配带产权车位 高区拎包入住","https://shanghai.anjuke.com/prop/view/S3556519957799946",3,2,2,"83.66㎡","南北","高层(共26层)","2018年建造","凯旋汇","浦东","八佰伴","张杨路98号","南北;满五年;近地铁;车位充足",249,"29764元/㎡","南北","满五年","近地铁","车位充足","精装修","2018年竣工/公寓
            ","满五年","唯一住房","有电梯","近地铁","车位充足","商住两用","公寓","50年产权","满五年","首付124万，月供12311元","91494元/㎡","234户","暂无","35.00%","轨道交通   小区出门步行800米有地铁9号线和2号线","小区户型   小区67㎡一房，和107-127㎡两房，高层总高26楼，单栋，前后楼间距大","其他描述   小区物业是启胜物业，物业费28元，包含3张会所会员卡，有大堂礼宾和管家，服务周到","小区设施   小区内有6000平方会所，设施完善，有儿童娱乐设施，健身器材，图书馆等","生活配套   小区出门步行0.5km到达老佛爷购物商场、盒马鲜生，2公里到达仁济医院东院","小区不足   小区车位紧张，有时无法满足多台车的需求","1家门店、4位经纪人正代理本房","全部经纪人","实地核验"
"265","264","666d21c1dacf8deaac141377","板块价格倒挂 住宅3室2厅2卫 99m 南北通 约554w","https://shanghai.anjuke.com/prop/view/S3556649987070981",3,2,2,"99㎡","南","","","碧云澧悦","浦东","航头","周园路1288弄","南北通透;厨卫全明;主卧套房;购物中心",554,"55960元/㎡","南北通透","厨卫全明","主卧套房","购物中心","精装修","暂无建造年代/普通住宅
            ","","","","","","暂无","普通住宅","70年产权","","首付110万，月供19902元","56000元/㎡","暂无","暂无","35.00%","","","","","","","查看全部经纪人","全部经纪人","认证新房"
"266","265","666d21c1dacf8deaac141378","小高层！有车位！品质小区！近地铁！接受置换！看房随时！","https://shanghai.anjuke.com/prop/view/S3555389495256068",2,2,1,"79.39㎡","南北","高层(共14层)","2010年建造","高行绿洲二期","浦东","外高桥","秋岚路251弄","南北;满五年;近地铁",318,"40056元/㎡","南北","满五年","近地铁","","精装修","2010年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","","商品房住宅","普通住宅","70年产权","满五年","首付63万，月供11424元","45316元/㎡","723户","0.8 元/平米/月","30.00%","小区户型   小区基本上是一梯两户,总共14楼，一房面积为57，两房面积为78，户型都是南北通透","小区设施   小区有居民用的健身设施、步行休闲的花园除了原有的地上车位、地下停车库也已开放解决了之前停车位的不足","生活配套   小区门口就是菜市场，西南方向500米有惠优玛特商场，金海马，美千居广场，农业银行，浦发银行等","房屋品质   双层混泥土钢筋架构不透水顶层有加固","","","","全部经纪人","实地核验"
"267","266","666d21c1dacf8deaac141379","华漕 南向采光好 有电梯 商业配套成熟 满五 小区绿化高","https://shanghai.anjuke.com/prop/view/S3049240892892166",1,1,1,"56.54㎡","南","高层(共14层)","2009年建造","爱博一村","闵行","华漕","宁虹路1101弄","南;满五年;绿化率高;采光较好",260,"45986元/㎡","南","满五年","绿化率高","采光较好","精装修","2009年竣工/普通住宅
            ","满五年","有电梯","绿化率高","采光较好","动线良好","商品房住宅","普通住宅","70年产权","满五年","首付52万，月供9340元","48752元/㎡","2882户","1.6 元/平米/月","46.00%","轨道交通   距离虹桥火车站1.2公里，小区门口有多条公交线路可以抵达虹桥机场及虹桥火车站，方便交通出行","小区户型   小区楼栋总共93栋，楼层总高13层，主力户型有55-61平的一房，85平的两房，120平的三房","其他描述   小区物业服务水平一般，现在爱博还是免物业管理费","小区设施   小区设施齐全，有健身器材，小孩游乐园，车位充足，够小区业主使用","房屋品质   房子为动迁房，2009年交房，房屋顶楼做了防水隔热层，顶楼全部加装了斜改层，可以有效的防晒防水","小区不足   动迁房，租客比较多","2家门店、9位经纪人正代理本房","全部经纪人","实地核验"
"268","267","666d21c1dacf8deaac14137a","建平中学 满五年W一 高层 采光很好 看房随时 急售","https://shanghai.anjuke.com/prop/view/S3564590513233934",3,2,2,"127㎡","南北","高层(共27层)","2015年建造","万科海上传奇(一二期)","浦东","御桥","御桥路1679弄1-38号","南北;满五年;近地铁;绿化率高",1260,"99213元/㎡","南北","满五年","近地铁","绿化率高","精装修","2015年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","绿化率高","商品房住宅","普通住宅","70年产权","满五年","首付252万，月供45264元","103551元/㎡","2336户","3.0 元/平米/月","45.00%","轨道交通   出小区门口50米即是11号线御桥路站，多路公交四通八达","小区户型   小区为85--90的两房，104-127的三房以及158的4房，小区豪华气派，楼间距大，小区绿化率高","小区设施   小区进门处有900平绿地 绿地周边设有儿童滑梯，跷跷板等娱乐设施，平时放假时都会有很多小朋友玩耍","生活配套   出小区门50米是2049商业广场，南800米为东郊百联","小区不足   小区北门靠高压，车位有点紧张，物业费较高  车位紧张","","7家门店、12位经纪人正代理本房","全部经纪人","实地核验"
